URL,Name,Content
https://tardis.fandom.com/ru/wiki/%D0%92%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%BC%D0%BE%D0%BD%D1%81%D1%82%D1%80,"
					Временной монстр				","Временной монстр The Time Monster Доктор Кто : 9 сезон 5 серия Доктор: Третий Доктор Спутники: Джо Грант Участвуют: Бригадир , Бентон , Йейтс , UNIT Враги: Мастер Место: Земля - Англия - Вуттон - 1970-е ТАРДИС Доктора и Мастера Атлантида ~1500 год до н.э. Производственная информация Автор: Роберт Сломан Барри Леттс Режиссёр: Пол Бернард Продюсер: Барри Леттс Номер: 64 Дата выхода: 20 мая - 24 июня 1972 Формат: 6 эпизодов по 25 мин. Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Мутанты Три Доктора Временной монстр (англ. The Time Monster ) — 5 и последняя серия 9 сезона сериала « Доктор Кто » , показанная с 20 мая по 24 июня 1972 года. Это предпоследняя серия с участием Мастера в исполнении Роджера Дельгадо , и последняя, где он противостоит Доктору и ЮНИТ на «современной» Земле. Здесь было предоставлено ещё одно объяснение затопления Атлантиды . В серии был показан новый дизайн консольной комнаты ТАРДИС и Доктора, и Мастера, которые отличались лишь центральным механизмом на консоли. Новая версия «кругляшек» большинству не понравилась, и съёмочный павильон был повреждён перед съёмками 10 сезона, так что ТАРДИС вернули дизайн, более приближенный к оригинальному. Доктор проводит эксперименты по обнаружению возмущения во времени для быстрого обнаружения ТАРДИС Мастера, если он вдруг решится появиться на Земле. Это приводит Доктора на научное собрание, где профессор Таскалес проводит эксперимент по путешествию предметов сквозь времена. На самом деле, оказывается, что этот профессор и есть Мастер, а этот эксперимент ему нужен, чтобы вызвать ужасное существо, самый страшный из хроноворов — Кроноса — заключённое во временную тюрьму. следует добавить следует добавить следует добавить следует добавить следует добавить следует добавить "
https://tardis.fandom.com/ru/wiki/%D0%97%D0%B0%D0%B7%D0%BE%D1%80_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8,"
					Зазор времени				","Зазор времени Timelash Доктор Кто : 22 сезон 5 серия Доктор: Шестой Доктор Спутники: Пери Браун Участвуют: Герберт Уэллс Враги: Борад , Теккер Место: Карфел - будущее Земля - Шотландия - 1885 ТАРДИС Доктора Производственная информация Автор: Глен МакКой Режиссёр: Пеннант Робертс Продюсер: Джон Нейтан-Тёрнер Номер: 141 Дата выхода: 9-16 марта 1985 Формат: 2 эпизода по 45 мин. Отрывок Доктор Кто ← Предыдущее Следующее → Два Доктора Разоблачение далеков Зазор времени (англ. Timelash ) — 5 серия 22 сезона сериала « Доктор Кто », показанная с 9 по 16 марта 1985 года. Это последняя серия классического сериала, в сюжете которой участвует историческая личность. Герберт Уэллс ввязался в приключение на планете Карфел после недолгого визита Доктора в Шотландию 1885 года, и его личность оставалась неизвестной до самого конца серии. Серия также примечательна своей отсылкой на прошлое приключение Третьего Доктора с Джо Грант , которое зрители не видели - здесь даже появляются их изображения. следует добавить следует добавить следует добавить "
https://tardis.fandom.com/ru/wiki/%D0%94%D0%B0%D0%BB%D0%B5%D0%BA-%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D0%BB%D0%B5%D1%80,"
					Далек-временной контроллер				","Далек-временной контроллер Dalek Time Controller Раса: Далек Планета: Скаро Семья: Жена: Адлен Дютамп Появления Появления: список появлений Актёр: Николас Бриггс Далек-временной контроллер – далек из далёкого будущего, рождённый поколениями генетических манипуляций с целью создания далека, который смог бы понять «непостижимые закономерности» вихря времени , служа «окончательной победой далеков через чистую стратегию». Он и Доктор сталкивались друг с другом в своих соответствующих временных линиях, причём первая встреча Контроллера с Доктором произошла после того, как последний несколько раз сталкивался с первым, по крайней мере, в двух более молодых воплощениях. После встречи с Шестым Доктором – чья встреча здесь была первой встречей Доктора с Далеком-временным контроллером – Контроллер много раз сражался с Восьмым Доктором . После заражения ретро-регенерационными частицами и в результате существования вне времени во время нескольких изменений истории, Контроллер был изгнан из Империи Далеков . После распада его союза с Мастером , Контроллер слился с Эминенс . Контроллер наблюдал за схемой новой парадигмы далеков по преобразованию 400 солнечных миров в «миллиард Скаро ». Он манипулировал местами назначения ТАРДИС Доктора в вихре времени и привёл Одиннадцатого Доктора к раскрытию секретов колыбели богов . Он также превзошел Верховного далека в этой миссии и отменил приказ принять меры, чтобы это не нарушило течение времени. Контроллер выдавал себя за судью – он выступал в качестве обвинителя Доктора, дважды привлечённого к суду за утверждение «далеки – зло», что считалось преступлением на почве ненависти. План провалился, когда Доктору удалось убедить марионетку далеков , Дженибет Блэкли , включить регулятор времени. Не пострадав от огня оружия Дженибет, Контроллер отступил, убив её. (ПРОЗА: Поколение далеков ) Когда далеки выследили нулевого пациента на станции вирусного сдерживания «Аметист» в прошлом, Контроллер командовал миссией, посланной туда, планируя переместить станцию во времени к далекам. Шестой Доктор помешал их операции и оставил их пытаться отразить взрыв. Однако Контроллер понял, что взрыв на станции вызвал рассеивание вирусов во времени . Доктор считал, что Контроллер был уничтожен во время взрыва. (АУДИО: Нулевой пациент ) Однако его отбросило назад через вихрь времени в конец 22 века. Далеки связались с Монахом , благодаря знаниям которого Контроллер был восстановлен. Контроллер взял под свой контроль операцию далеков и организовал второе вторжение далеков на Землю , заставив Монаха выпустить ещё одну чуму, чтобы ослабить человечество. Он планировал использовать Землю в качестве космического корабля, содержащего вирусы со станции, увидев, где они окажутся, пока он находится в вихре, и установив на Земле двигатель искривления времени, чтобы добраться до этой точки. Затем, планету можно было пилотировать по всей вселенной, заражая целые планеты, которые могли угрожать далекам в будущем. В конечном счете, Контроллер и все далеки на его корабле были втянуты в искривление времени благодаря Люси Миллер , разбившей корабль далеков, содержащий бомбу, в шахту. (АУДИО: Люси Миллер , До Смерти ) Контроллер был спасён от уничтожения Котрисом . С тех пор он наблюдал за Доктором и Молли , используя карту и темпоральную камеру для создания пространственно-временного проектора. Используя ретро-регенерационные частицы, имплантированные в Молли, он и Котрис планировали уничтожить повелителей времени . После смерти Страксуса , Котрис был стёрт из истории. Таким образом, планы Контроллера, связанные с ним, были также стёрты. (АУДИО: X и далеки ) Контроллер наблюдал за вторжением на Никсис VII и создал мины на планете, чтобы создать супероружие далеков. Доктор взорвал бомбу, расположенную на соседнем далеке в камере Контроллера, повредив того и заставив бежать к своему кораблю на орбите над планетой (АУДИО: Предатель ) . Однако вместо того, чтобы уничтожить оружие, Доктор попросил помощи у Контроллера в победе над Эминенс , которое представляло для далеков большую угрозу, чем Доктор (АУДИО: Глаза Мастера ) . Контроллер согласился и использовал оружие, чтобы уничтожить флот Эминенс. (АУДИО: Горизонт времени ) После заражения ретро-регенерационными частицами и существования вне времени во время нескольких изменений в истории, Далек временной-контроллер был изгнан из Империи Далеков , поскольку далеки не признали того естественной частью своей временной линии. Кроме того, ретро-регенерационные частицы дали ему симбиотическую связь с Молли О'Салливан . (АУДИО: Монстр Монмартра , Глаз тьмы ) Объединившись с Мастером , Контроллер отправился в Париж 1921 года, на Монмартр , и создал Адлен Дютамп — дубликат далека из его собственной ДНК. Собирая преступников и художников, на которых работала Дютамп в Красной пагоде , Контроллер создал временных стратегов — далеков с продвинутым пониманием темпоральной науки, подобных ему самому. (АУДИО: Монстр Монмартра ) Контроллер использовал далеков-агентов для захвата ТАРДИС Доктора (АУДИО: Жизнь за день ) , чтобы использовать Красную пагоду для изменения истории, а также в качестве гигантского заменяющего корпуса для его проржавевшего. В конце концов он столкнулся с Доктором и Лив Ченкой , захватил Лив и распрашивал её об участии Доктора в войне с Эминенс. Контроллер не смог остановить Доктора от восстановления его сильно повреждённой ТАРДИС, однако смог продолжить свой первоначальный план. Контроллер и Мастер создали альтернативную временную линию, где к 1961 году Земля стала новым Скаро , и всё человечество было либо уничтожено и порабощено, либо превращено в далеков. Он тайно готовился предать Мастера, предсказывая, что тот уже планирует сделать с ним то же самое. Когда Мастер отправился в лагерь рабов далеков в руинах Москвы , чтобы забрать Доктора — который разбил свою ТАРДИС и страдал от амнезии — Контролер приказал привести к нему Доктора, чтобы заменить Мастера в их операции. В конце концов Контроллер и Мастер предали друг друга, что привело к гражданской войне между далеками-временными стратегами и 75% далеков, которых Мастер запрограммировал на борьбу со стратегами. Затем Контроллер взял Лив Ченку и Молли О'Салливан в заложники, прежде чем украсть ТАРДИС Доктора. (АУДИО: Повелитель далеков ) Прибыв в Глаз Ориона , где тайно располагался оружейный комплекс далеков, Контроллер позволил отправить Молли за медицинской помощью, поскольку её нестабильное состояние представляло угрозу для его жизни (ретро-регенерационные частицы сформировали между Молли и Контроллером симбиотическую связь). Контроллер заставил Лив остаться с ним, когда он убил генетически модифицированного Орионского рабочего и патруль далеков, чтобы получить доступ к защищённому бункеру, где находился Маркус Шрайвер . Контроллер сражался с Шрайвером за контроль над газом, который в будущем станет Эминенс . Внезапно прибыло отделение Далеков во главе с Верховным далеком , возглавляемое Доктором, и Верховный далек открыл, что его план состоял в том, чтобы позволить Контроллеру добраться до Глаза Ориона, чтобы отделить его сознание и уничтожить его вместе с Маркусом Шрайвером. Молли О'Салливан позволила своему сознанию стать частью Эминенс (АУДИО: Глаз тьмы ) и изгнала его на самый конец вселенной , где Доктор, Лив и Молли в прошлом встретятся с ним на « Орфее » (АУДИО: Горизонт времени ) и в конечном итоге полностью покончат с Эминенс. (АУДИО: Господство Величия ) Вскоре после того, как далеки покинули Глаз Ориона , они нашли останки Адлен Дютамп. Верховный далек приказал, чтобы останки Дютамп были восстановлены в качестве уникального далека-временного стратега (АУДИО: Глаз тьмы ) , который будет служить заместителем командующего империей далеков во время Войны Времени . (АУДИО: Теневой вихрь и т.д.) "
https://tardis.fandom.com/ru/wiki/%D0%92%D1%80%D0%B5%D0%BC%D1%8F_(%D0%AD%D0%BF%D0%B8%D0%B7%D0%BE%D0%B4%D1%8B),"
					Время (Эпизоды)				","Время Прозвища: женщина роз Раса: Вечные Семья: Сёстры - Смерть , Боль , Мать - Жасмин Сюрприз Кведж-Хатчингс Отец - Рики Макилвин Дедушка - Крис Кведж Бабушка - Иштар Хатчингс Появления ПРОЗА: Эпизоды , Лангбэрроу Время - Вечная и одна из божеств Менти Селести , которая выбрала Седьмого Доктора своим чемпионом. (ПРОЗА: Любовь и война ) Как Смерть и другие Менти Селести, она действовала как живое воплощение космических принципов. Время было моложе Смерти и Боли . (ПРОЗА: Эпизоды ) Время была внучкой Криса Квейджа и Иштар Хатчингс , дочерью Жасмин Сюрпрайз Цвей-Хатчингс , которая переспала с псиоником Рики Макилвином (ПРОЗА: Дитя войны ), в результате чего родилась Время (ПРОЗА: Счастливые концовки ) будучи созданной из мечтаний и мыслей Повелителей Времени, персонифицированных в «абстрактную универсальную сущность». (ПРОЗА: Человеческая природа ) Время вместе со Смертью и Болью присутствовала на свадьбе Бернис Саммерфилд и Джейсона Кейна в Челдон Боннифейс. (ПРОЗА: Счастливые концовки ) Время явилось Доктору, когда он вернулся в Дом Лангбэрроу . (ПРОЗА: Лангбэрроу ) Вместе со своими сестрами Жизнью и Судьбой, Время сбежала из Спиральной политики в тот момент, когда она предвидела Войну на Небесах . (ПРОЗА: Hark! The Herald Angels Sing ) Это олицетворение времени женского пола было рождено из мечтаний и мыслей Повелителей Времени (также она была внучкой Криса Квейджа ), и отличается от Отца Времени из комикса «Испытание временем» , который утверждал, что был старше Повелителей Времени и одновременно называл себя Доктором. "
https://tardis.fandom.com/ru/wiki/%D0%92%D1%80%D0%B5%D0%BC%D1%8F_%D0%BD%D0%B0_%D0%B8%D1%81%D1%85%D0%BE%D0%B4%D0%B5,"
					Время на исходе				","Время на исходе Closing Time Доктор Кто : 6 сезон 12 серия Доктор: Одиннадцатый Доктор Участвуют: Крейг Оуэнс Враги: Киберлюди , кибермиты Камео: Эми Понд , Рори Уильямс , Ривер Сонг Место: Земля - Англия ( Колчестер ), корабль киберлюдей и США ( Юта : озеро Силенсио ) - 18-20 апреля 2011 Лунный университет - 52 век Производственная информация Автор: Гарет Робертс Режиссёр: Стив Хьюс Продюсер: Дэнис Пол Номер: 223 Дата выхода: 24 сентября 2011 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Комплекс Бога Свадьба Ривер Сонг Время на исходе (англ. Closing Time ; второй вариант перевода - Время закрытия ) — 12 серия 6 сезона возобновлённого сериала « Доктор Кто ». Узнав о своей будущей смерти, Доктор решает проститься со своими друзьями и заезжает к Крейгу Оуэнсу , впервые появившемуся в эпизоде « Квартирант » (2010), который один остался присматривать за своим ребёнком. Здесь произошло возвращение киберлюдей , и эта серия стала одним из последних телевизионных появлений модели, представленной в серии « Восстание киберлюдей » (2006). Осознавая, что его время на исходе, Доктор отправляется в прощальное путешествие, чтобы повидать старых друзей. Он посещает бывшего соседа по квартире Крейга Оуэнса... Он заходит всего на несколько минут, но вдруг замечает страннный мигающий свет и начинает расследовать дело. Доктор собирается ничего не расследовать, однако не может устоять и устраивается в магазин где происходят странные вещи. Там его находит Крейг с ребёнком, и Доктор неохотно принимает его помощь. Также он объясняет Крейгу, что о нём думает ребёнок. Доктор выясняет, что похитители пользовались телепортом и случайно натыкается на него в сломанном лифте. Он вместе с Крейгом оказываются на корабле киберлюдей , и Доктор успевает телепортировать их обратно. Позже в магазине Доктор замечает Эми и Рори , однако не показывается им на глаза.
При исследовании Доктор находит серебряную крысу и обезвреживает её. Потом он, услышав крик, бежит на помощь, однако его ударяет киберчеловек . Доктора вытаскивает Крейг. Доктор с Крейгом Дома на Доктора и Крейга нападает серебряная крыса, и они окончательно её обезвреживают. Дальше Доктор один находит тайный проход на потерпевший крушение корабль киберлюдей и они берут его в плен. Тут на выручку приходит Крейг, однако его хватают киберлюди и также превращают в киберчеловека. Но Крейг слышит плач своего сына и опять превращается в человека, а корабль кибердюдей взрывается. Доктор прощается с Крейгом, и тот даёт ему ковбойскую шляпу. Доктор отправляется в своё последнее путешествие. Ривер в скафандре Тишины В это время Ривер Сонг исследует показания свидетелей о местоположении Доктора до его смерти. Тут к ней подходит мадам Ковариан и говорит ей, что знает о Докторе очень многое, и предупредает, чтобы Ривер даже не пыталась вспомнить её. Тут появляются агенты Тишины , и Ковариан говорит, что знает, что Ривер Сонг — это Мелоди Понд. Также она спрашивает Ривер о дате смерти Доктора — 22 апреля 2011 года. Ривер отвечает, что это легенда, а Ковариан говорит, что эта легенда начинается здесь. Ривер Сонг одевают в управляемый костюм астронавта и помещают на дно озера Силенсио 22 апреля 2011 года. "
https://tardis.fandom.com/ru/wiki/%D0%92%D1%80%D0%B5%D0%BC%D1%8F_%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D0%BE%D0%B2,"
					Время ангелов				","Время ангелов The Time of Angels Доктор Кто : 5 сезон 4 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд Участвуют: Ривер Сонг Враги: Плачущие ангелы Место: Корабль Византия и Альфава Метраксис - 51 век Архив Делириума - 171 век ТАРДИС Доктора Производственная информация Автор: Стивен Моффат Режиссёр: Адам Смит Продюсер: Трейси Симпсон Номер: 206a Дата выхода: 24 апреля 2010 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Победа далеков Плоть и камень Время ангелов (англ. The Time of Angels ) — 4 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 24 апреля 2010 года. Это первая часть двухсерийки, написанной Стивеном Моффатом , которая завершится в следующей серии . Здесь произошло возвращение Алекс Кингстон в роли Ривер Сонг впервые со времён её первого появлений в двухсерийке « Тишина в Библиотеке » / « Лес мертвецов » (2008) в 4 сезоне. Здесь также вернулись Плачущие ангелы , впервые появившиеся со времён эпизода « Не моргай » (2007) 3 сезона. Плачущие ангелы, которые скрылись в Лабиринте Мертвецов, возвращаются. В это же время в жизни Доктора вновь появляется загадочная Ривер Сонг. Может ли он доверять ей? Все окружающие говорят Эми, чтобы она не моргала. Но в действительности, это еще не самое ужасное, что может произойти… Плачущий ангел - это самая смертоносная, самая мощная и самая злобная форма жизни, когда-либо созданная эволюцией. И от меня ждут, что я пролезу туда с отвёрткой и фонариком, при условии, что меня не убьёт радиация и сам корабль не взорвётся, я сделаю что-то очень-очень умное, что мне предстоит ещё придумать. Вот такие дела. "
https://tardis.fandom.com/ru/wiki/%D0%92%D1%80%D0%B5%D0%BC%D1%8F%D1%82%D0%BE%D1%87%D0%B5%D1%86:_%D0%91%D1%8B%D1%82%D0%B8%D0%B5,"
					Времяточец: Бытие				","Времяточец: Бытие Timewyrm: Genesys Virgin Books : Новые приключения : книга 1 Доктор: Седьмой Доктор Спутники: Эйс Враги: Времяточец Место: Земля - Месопотамия - 2700 до н.э. Производственная информация Издатель: Virgin Books Автор: Джон Пил Номер: 1 Дата выхода: 20 июня 1991 Формат: 25 глав (230 стр.) Новые приключения Следующее → Времяточец: Исход Времяточец: Бытие — первая книга из серии « Новые приключения », опубликованная издательством Virgin Books . Это первая книга по сериалу « Доктор Кто », не считая новеллизаций серий, и первая книга, в которой фигурируют Седьмой Доктор и Эйс . Месопотамия - колыбель цивилизаций. На плодородной земле между реками Тигр и Ефрат, человечество превращается из охотников в собирателей, а из собирателей в фермеров. Наконец, фермеры становятся горожанами. Гильгамеш, первый король-герой, правит городом Урук. В этот период времени прибывает не менее легендарная фигура - путешественник в синей будке вместе со своей спутницей Эйс . Новоприбывшие наблюдают за первыми шагами человечество в культурную эпоху, которая зовётся древним миром. Однако, здесь Доктор сталкивается с огромной опасностью, которая может стереть человечество с лица Земли. И эта опасность - мифическая фигура Галлифрея, которая зовётся Времяточцем... Над Землей вели бой два космических корабля. Один из них, экипаж которого находился под контролем киберженщины по имени Катака был сбит противником. В спасательной капсуле Катака приземляется где-то в древней Месопотамии. Её находит царь Урука Гильгамеш. Представившись богиней Иштар, Катака пыталась соблазнить Гильгамеша, чтобы пленить его разум, но он отказал ей. Она поклялась отомстить ему за это. В ТАРДИС , Эйс внезапно забывает о том, кто она такая. Причиной является ошибка Седьмого Доктора , случайно удалившего её память во время манипуляций со своими воспоминаниями. Перед их восстановлением Доктор включает голографическое сообщение, оставленное Четвёртым Доктором во время вторжения Сонтаранцев. В нём он предупреждает о Времяточце - мифическом существе. После того, как Доктор восстановил память Эйс, ТАРДИС материализуется в древней Месопотамии. В Уруке местная знать, в частности Гудиа и Эннатум, замышляют заговор против Гильгамеша. Они посылают гонца в Киш, священнику храма Иштар Думузи, с предупреждением о том, что Гильгамеш направился в Киш на разведку.  Агга, царь Киша, не рад тому, что в его городе появилась богиня Иштар. Понимая чрезвычайную опасность Иштар, он беспокоится о безопасности народа, себя и своей дочери, Нинани. ТАРДИС материализуется в месте схватки солдат Киша и Гильгамеша, попавшего в засаду. Участвуя в этом бою, Эйс использует нитро-9, чтобы разогнать солдат. Вследствие этого Гильгамеш принимает Доктора и Эйс за богов Эа и Эйя. Доктор оставляет Эйс в пабе с Гильгамешем и Энкиду, а сам идёт исследовать Киш. Гильгамеш привлекает к себе внимание посетителей, и, для избежания драки, Эйс поет «The Wild Rover», чтобы развлечь толпу. Этим она привлекает внимание Аврама, путешествующего песенника, который рассказывает ей о присутствии в Кише Иштар. Эйс решает отправиться в храм Иштар вместе с Аврамом, Гильгамеш и Энкиду чтобы помочь Доктору. В Кише принцесса Нинани планирует заговор против богини. Она посылает к Иштар молодую жрицу Ин-Гулу для добычи большей информации об Иштар и способ борьбы с ней. Ин-Гула боится Иштар и присоединяется к заговору Нинани. Возвращаясь в храм Иштар, она встречается с Доктором. Он удивился, что Иштар присутствует в ее храме. Из-за этого Думузи дал Доктору препарат, из-за чего Доктор теряет сознание. Иштар собирается съесть мозг Доктора, но появляется Эйс и использует нитро-9, нанося ущерб храму. Доктор сердито объясняет Эйс, что он симулировал потерю сознания для сбора информации о Иштар. Он показывает, что статуи Иштар в стенах храма являются своего рода массовыми электронными датчиками, позволяющие ей контролировать тысячи человеческих умов на большом расстоянии. Взрывчатка Эйс повредила передатчики, но их починка является вопросом времени. Ин-Гула и Аврам возвращаются в Урук для планировки следующего шага. В Уруке они пользуются праздником, подготовленным в честь Гильгамеша. Аврам развлекается песней о таинственном богоподобным существом, известным как Утнапишти. Доктор полагает о большем существовании легенд об Утнапишти. Они решают вопрос следующим образом: Гильгамеш, Эйс и Аврам идут на поиски Утнапишти; Доктор, Энкиду и Ин-Гула проводят слежку за Кишем. Группа Эйс добирается до потухшего вулкана, где по преданию живет Утнапишти. Аврам, Бывавший там раньше, приводит их к двум «людям-скорпионам», являющимися роботами-охранниками для отражения вторжений. В вулкане они достигают большое озеро, охраняемого одним человеком. Гильгамеш, теряя терпение, нападает на человека. Эйс вынуждена обезвредить его лазерную пушку, чтобы не допустить убийство Гильгамеша. Группа использует небольшую лодку для поездки в центр озера, где Утнапишти живёт в обломках космического корабля. Он объясняет, как он преследовал Куатаку - безжалостного преступника планеты Ану в пространстве. Он утверждает, что Куатака был уничтожен, но его корабль был сильно поврежден в бою. Эйс утверждает, что народу Утнапишти нельзя выходить на поверхность - тогда будет неизбежна война с людьми.Также она говорит, что Куатака выжил и скрывается под именем Иштар. Утнапишти соглашается помочь Эйс уничтожить Куатаку / Иштар с помощью компьютерных вирусов, которые будут атаковать кибернетическое тело Иштар. Тем временем Доктор, Ин-Гула и Энкиду вернулись для консультации с Нинани. Доктор надеется, что Нинани поможет ему проникнуть в храм Иштар незамеченным. Нинани помогает, но их обнаруживает Aггa, который боится наказания за то, что его дочь предала Иштар. Он запирает всех, кроме Нинани в подземелье. Aггa рассказывает Нинани об устройстве, способном уничтожить мир, которым владеет Иштар. Он пытается убедить Нинани, что они не могут противостоять такому мощному существу. Нинани ждёт ухода отца, а затем спасает себя и других из подземелья. Доктор, Энкиду, Ин-Гула и Нинани возвращаются в храм, но встречают ожидающую богиню. Иштар готовится к уничтожению Доктора вследствие взрыва скал храма. Но тут возвращается Эйс на небольшом летательном аппарате, пилотируемом Утнапишти, вместе с Гильгамешем и Аврамом. Доктор понимает, что Иштар была фальсификацией кобальтовой бомбы, достаточно мощной, чтобы уничтожить планету, которая взорвётся в случае её смерти. Попытки Эйс и других уничтожить Иштар приводят к тому, что Доктору приходится спасать их. Когда Иштар пытается извлечь мозг Эйс, и та включает компьютерный вирус, имплантированный во все их умы. Доктор заставляет всех вернутся в ТАРДИС. Вернувшись, Доктор пытается найти способ удерживать психические процессы Иштар. Используя телепатические схемы ТАРДИС, Седьмой Доктор вызывает Третьего Доктора для помощи в некоторых аспектах. Доктор занимает один из психических имплантатов Иштар и проводит его в телепатические схемы ТАРДИС, в силу загрузки Иштар в ТАРДИС, удерживая её в живой достаточно долго, чтобы разоружить атомную бомбу. К сожалению, когда Доктор пытается удалить Иштар из ТАРДИС, он обнаруживает её несуществование. Адаптируя ТАРДИС, Иштар использует схемы для замены тела. Доктор обманывает её, переводя сознание Иштар на запасную комнату управления, которую он затем перенаправляет во Временную Воронку. Доктор возвращается в Месопотамию, помогает Утнапишти с ремонтом корабля для того, чтобы его народ нашёл неизвестную и пригодную для жизни планету и освоил её. Вернувшись в ТАРДИС, Доктор обнаруживает активность индикатора путешествий: Иштар, усвоив компоненты ТАРДИС, превращается в Времяточца и получает возможность путешествовать во времени и пространстве. Доктор ставит ловушку, но Времяточец уклоняется. С помощью индикатора путешествий Доктор отслеживает Времяточца в Лондоне 20-го века. Доктор и Эйс собираются бороться с новым врагом. "
