URL,Name,Doctor,Companions,Producer,Data,Content
https://tardis.fandom.com/ru/wiki/%D0%9E%D0%B4%D0%B8%D0%BD%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8B%D0%B9_%D1%87%D0%B0%D1%81,"
					Одиннадцатый час				",Одиннадцатый Доктор,Эми Понд,Трейси Симпсон,3 апреля 2010,"Одиннадцатый час The Eleventh Hour Доктор Кто : 5 сезон 1 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд Участвуют: Рори Уильямс Враги: Заключенный Ноль Место: Земля - Англия - Лондон и Лидворт - 1996 , 2008 и 2010 ТАРДИС Доктора Производственная информация Автор: Стивен Моффат Режиссёр: Адам Смит Продюсер: Трейси Симпсон Номер: 203 Дата выхода: 3 апреля 2010 Формат: 65-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Конец времени Зверь внизу Одиннадцатый час — 1 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 3 апреля 2010 года. Здесь произошло первое полноценное появление Мэтта Смита в роли Одиннадцатого Доктора , а также были введены Карен Гиллан в роли Эми Понд и Артур Дарвилл в роли Рори Уильямса . В этом эпизоде началась сюжетная арка трещин в ткани реальности и был сделан намёк на будущую сюжетную арку, связанную с религиозным орденом под названием Тишина . Кроме того, в серии была упомянута и Пандорика , которая появится в финале сезона . Серия стала первой в эре Стивена Моффата , который перенял пост шоураннера у Расселла Т Дэвиса . Среди других многочисленных перемен, самой примечательной была смена главной музыкальной темы , новую вариацию которой опять создал Мюррей Голд . Доктор регенерировал в совершенно нового человека, но опасность наступает прежде, чем он успевает восстановиться. Его ТАРДИС находится в аварийном состоянии, звуковая отвёртка сломана, а у Доктора всего 20 минут на то, чтобы спасти весь мир - и только Эми Понд может помочь ему. Всё время и пространство, всё, что когда-нибудь случалось или когда-нибудь будет... С чего хочешь начать? "
https://tardis.fandom.com/ru/wiki/%D0%97%D0%B2%D0%B5%D1%80%D1%8C_%D0%B2%D0%BD%D0%B8%D0%B7%D1%83,"
					Зверь внизу				",Одиннадцатый Доктор,Эми Понд,Питер Беннетт,10 апреля 2010,"Зверь внизу The Beast Below Доктор Кто : 5 сезон 2 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд Участвуют: Лиз 10 Враги: Хоторн , смайлеры , уиндеры Камео: Уинстон Черчилль , далек Место: Космический корабль Великобритания - 3295 год ТАРДИС Доктора Производственная информация Автор: Стивен Моффат Режиссёр: Эндрю Ганн Продюсер: Питер Беннетт Номер: 204 Дата выхода: 10 апреля 2010 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Одиннадцатый час Победа далеков Зверь внизу — 2 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 10 апреля 2010 года. Здесь было показано первое путешествие Эми Понд на ТАРДИС. В этой серии впервые появилась « Лиз 10 » - королева Великобритании в 33 веке, сыгранная Софи Оконедо . Эпизод заканчивается сценой с далеком и Уинстоном Черчиллем , что ведёт прямо в следующую серию . Эми и Доктор совершают путешествие в отдалённое будущее и неожиданно попадают на огромный космический корабль под названием «Соединённое Королевство». На этом звездолете вся британская нация мечется среди звезд и галактик, чтобы найти для себя новую планету для жизни. Но старый космолёт имеет свои секреты... Некто с маской на лице, каким-то образом узнавший Доктора, просит его о помощи. В то же время Эми неожиданно встречается со странными смайлерами и узнает древнюю страшную тайну, о которой все снова и снова забывают... "
https://tardis.fandom.com/ru/wiki/%D0%9F%D0%BE%D0%B1%D0%B5%D0%B4%D0%B0_%D0%B4%D0%B0%D0%BB%D0%B5%D0%BA%D0%BE%D0%B2,"
					Победа далеков				",Одиннадцатый Доктор,Эми Понд,Питер Беннетт,17 апреля 2010,"Победа далеков Victory of the Daleks Доктор Кто : 5 сезон 3 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд Участвуют: Уинстон Черчилль Враги: Далеки : Железнобокие , далеки Новой Парадигмы Место: Земля ( Англия : Лондон ) и корабль далеков - 1941 ТАРДИС Доктора Производственная информация Автор: Марк Гейтисс Режиссёр: Эндрю Ганн Продюсер: Питер Беннетт Номер: 205 Дата выхода: 17 апреля 2010 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Зверь внизу Время ангелов Победа далеков — 3 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 17 апреля 2010 года. Здесь произошло возвращение далеков и первое появление Уинстона Черчилля в исполнении Йена МакНиса . Сюжет разворачивается вокруг группы далеков, которая в 1941 году планирует восстановить свою расу, которая считается почти полностью уничтоженной после завершения Войны Времени . В отличие от эры Расселла Т Дэвиса , где участвовали единичные выжившие группировки, этот эпизод заканчивается удачей для далеков, которые возрождают свою расу в Новой парадигме и отправляются создавать новую Империю . Серия также продвигает сюжетную арку трещин во времени, установив, что Эми не помнит события вторжения далеков на Землю, которое было показано в финале 4 сезона . Доктора вызвал его старый друг, но в Бомбоубежище Кабинета, глубоко под улицами Лондона, под бомбёжками, Доктора ждет встреча с его злейшим врагом. Бежать некуда. Далеки возвращаются - но в сговоре ли с ними Уинстон Черчилль ? Сможет ли Доктор убедить его в том, что далеки очень опасны? История XX века зависит от решения премьер-министра Великобритании. Что вы тут делаете? Чего вы добиваетесь? Вы мои враги! А я - ваш! Вы - всё, что я презираю - худшие создания во всём мироздании. Я побеждал вас раз за разом, я разгромил вас, я отправил вас в пустоту, я спас всю реальность от вас. Я - Доктор! А вы - далеки! В этом эпизоде ​​каждому далеку дали разные титулы, соответствующие цвету его брони, а именно: «Ученый» (оранжевый), «Стратег» (синий), «Дрон» (красный), « Вечный » (желтый) и «Верховный» (белый). Красный, синий и желтый далеки впервые были показаны в Radio Times, и эти цвета использовались для обозначения различных цветов трех основных британских политических партий: лейбористов (красный), консерваторов (синий) и либерал-демократов (желтый). Первоначально новые далеки собирались заменить модели времен времен Дэвиса, но из-за неоднозначных комментариев, сделанных по поводу новых разработок далеков относительно реакции фанатов, позже было решено, что новые модели будут служить «офицерами», класс выше этих солдатских вариантов.  Далеки времен Моффата и Дэвиса позже смешались в серии Изолятор далеков , чтобы положить конец этому делу. "
https://tardis.fandom.com/ru/wiki/%D0%92%D1%80%D0%B5%D0%BC%D1%8F_%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D0%BE%D0%B2,"
					Время ангелов				",Одиннадцатый Доктор,Эми Понд,Трейси Симпсон,24 апреля 2010,"Время ангелов The Time of Angels Доктор Кто : 5 сезон 4 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд Участвуют: Ривер Сонг Враги: Плачущие ангелы Место: Корабль Византия и Альфава Метраксис - 51 век Архив Делириума - 171 век ТАРДИС Доктора Производственная информация Автор: Стивен Моффат Режиссёр: Адам Смит Продюсер: Трейси Симпсон Номер: 206a Дата выхода: 24 апреля 2010 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Победа далеков Плоть и камень Время ангелов (англ. The Time of Angels ) — 4 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 24 апреля 2010 года. Это первая часть двухсерийки, написанной Стивеном Моффатом , которая завершится в следующей серии . Здесь произошло возвращение Алекс Кингстон в роли Ривер Сонг впервые со времён её первого появлений в двухсерийке « Тишина в Библиотеке » / « Лес мертвецов » (2008) в 4 сезоне. Здесь также вернулись Плачущие ангелы , впервые появившиеся со времён эпизода « Не моргай » (2007) 3 сезона. Плачущие ангелы, которые скрылись в Лабиринте Мертвецов, возвращаются. В это же время в жизни Доктора вновь появляется загадочная Ривер Сонг. Может ли он доверять ей? Все окружающие говорят Эми, чтобы она не моргала. Но в действительности, это еще не самое ужасное, что может произойти… Плачущий ангел - это самая смертоносная, самая мощная и самая злобная форма жизни, когда-либо созданная эволюцией. И от меня ждут, что я пролезу туда с отвёрткой и фонариком, при условии, что меня не убьёт радиация и сам корабль не взорвётся, я сделаю что-то очень-очень умное, что мне предстоит ещё придумать. Вот такие дела. "
https://tardis.fandom.com/ru/wiki/%D0%9F%D0%BB%D0%BE%D1%82%D1%8C_%D0%B8_%D0%BA%D0%B0%D0%BC%D0%B5%D0%BD%D1%8C,"
					Плоть и камень				",Одиннадцатый Доктор,Эми Понд,Трейси Симпсон,1 мая 2010,"Плоть и камень Flesh and Stone Доктор Кто : 5 сезон 5 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд Участвуют: Ривер Сонг Враги: Плачущие ангелы Место: Альфава Метраксис : корабль Византия - 51 век Архив Делириума - 171 век ТАРДИС Доктора Земля - Англия - Лидворт - 2010 Производственная информация Автор: Стивен Моффат Режиссёр: Адам Смит Продюсер: Трейси Симпсон Номер: 206b Дата выхода: 1 мая 2010 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Время ангелов Вампиры Венеции Плоть и камень (англ. Flesh and Stone ) — 5 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 1 мая 2010 года. Это вторая часть двухсерийки, написанной Стивеном Моффатом , которая началась в предыдущей серии . В истории было подробней рассказано о трещинах во времени и дан ответ на вопрос, почему Эми не может вспомнить некоторые детали из своей жизни. В очередной раз упоминается Пандорика , только теперь о ней говорит Ривер Сонг . Также, отец Октавиан предупреждает Доктора, что Ривер опасно доверять, ведь она сидит в тюрьме за убийство . Чтобы избежать Плачущих ангелов, Доктор и его друзья должны держать свой путь через обломки разбившегося лайнера. Но Эми чувствует впереди еще более смертоносную опасность... Кибердеревья - деревья плюс технологии. Ветки - это кабели, сенсоры, корпуса - лес поглощает свет звёзд и выделяет кислород, даже дожди идут - полный микроклимат. Целая экосистема проходит через сердце корабля. Лес в бутылке на космическом корабле-лабиринте. Я тебя ещё не впечатлил, Эми Понд? "
https://tardis.fandom.com/ru/wiki/%D0%92%D0%B0%D0%BC%D0%BF%D0%B8%D1%80%D1%8B_%D0%92%D0%B5%D0%BD%D0%B5%D1%86%D0%B8%D0%B8,"
					Вампиры Венеции				",Одиннадцатый Доктор,Эми Понд,Трейси Симпсон,8 мая 2010,"Вампиры Венеции The Vampires of Venice Доктор Кто : 5 сезон 6 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс Враги: Сатурнианцы Место: Земля - Италия ( Венеция - 1580 ) и Англия ( Лидворт - 2010 ) ТАРДИС Доктора Производственная информация Автор: Тоби Уитхаус Режиссёр: Джонни Кэмпбелл Продюсер: Трейси Симпсон Номер: 207 Дата выхода: 8 мая 2010 Формат: 50-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Плоть и камень Выбор Эми Вампиры Венеции (англ. The Vampires of Venice ) — 6 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 8 мая 2010 года. История напрямую продолжает финальную сцену предыдущей серии и показывает первое путешествие Рори в ТАРДИС. Здесь также вновь упоминается Тишина . Лишенные крови тела, леденящий души страх… Доктор предлагает Эми и Рори отправиться в романтическое путешествие. Но в шестнадцадцатом столетии Венеция выглядит по-другому. Закрытый для защиты от чумы город наполнен зловещими существами. Каков план Розанны Кальвиерри?.. Знаешь, что в тебе самое страшное? Не то, что ты подвергаешь людей опасности, а то, что они рискуют, чтобы впечатлить тебя. Они боятся тебя разочаровать. Ты понятия не имеешь, насколько люди могут быть опасными для самих себя, когда ты рядом. "
https://tardis.fandom.com/ru/wiki/%D0%92%D1%8B%D0%B1%D0%BE%D1%80_%D0%AD%D0%BC%D0%B8,"
					Выбор Эми				",Одиннадцатый Доктор,Эми Понд,Трейси Симпсон,15 мая 2010,"Выбор Эми Amy's Choice Доктор Кто : 5 сезон 7 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс Враги: Повелитель снов , экнодины Место: ТАРДИС Доктора Во сне: Земля - Англия - Лидворт - 2015 год Производственная информация Автор: Саймон Най Режиссёр: Кэтрин Морсхед Продюсер: Трейси Симпсон Номер: 208 Дата выхода: 15 мая 2010 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Вампиры Венеции Голодная земля Выбор Эми (англ. Amy's Choice ) — 7 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 15 мая 2010 года. Серия сфокусирована на отношениях Эми с Рори и Доктором, а также на тёмной стороне Доктора . Здесь вводится абсурдная возможность существования холодных звёзд, от которой команда ТАРДИС чуть не погибла в одном из снов. Прошло пять долгих лет после того, как Эми покинула борт ТАРДИС. Многое изменилось с тех пор. Но Доктор возвращается в её жизнь накануне рождения ребёнка и предлагает Эми сделать нелёгкий выбор, который может изменить всю её жизнь… "
https://tardis.fandom.com/ru/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D0%B7%D0%B5%D0%BC%D0%BB%D1%8F,"
					Голодная земля				",Одиннадцатый Доктор,Эми Понд,Питер Беннетт,22 мая 2010,"Голодная земля The Hungry Earth Доктор Кто : 5 сезон 8 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс Враги: Силурианка Алейя Место: Земля - Уэльс : Квмнтафф и город слиурианцев - 2020 Производственная информация Автор: Крис Чибнелл Режиссёр: Эшли Уэй Продюсер: Питер Беннетт Номер: 209a Дата выхода: 22 мая 2010 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Выбор Эми Холодная кровь Голодная земля (англ. The Hungry Earth ) — 8 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 22 мая 2010 и начавший двухсерийную историю, которая завершится в следующем эпизоде . История, написанная Крисом Чибнеллом , показала возвращение силурианцев , которые появились в сериале впервые со времён серии « Воины глубин » (1984). "
https://tardis.fandom.com/ru/wiki/%D0%A5%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D0%BA%D1%80%D0%BE%D0%B2%D1%8C,"
					Холодная кровь				",Одиннадцатый Доктор,Эми Понд,Питер Беннетт,29 мая 2010,"Холодная кровь Cold Blood Доктор Кто : 5 сезон 9 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс Враги: Рестак и верные ей силурианцы , Алейя Место: Земля - Уэльс : Квмнтафф и город слиурианцев - 2020 ТАРДИС Доктора Производственная информация Автор: Крис Чибнелл Режиссёр: Эшли Уэй Продюсер: Питер Беннетт Номер: 209b Дата выхода: 29 мая 2010 Формат: 50-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Голодная земля Винсент и Доктор Холодная кровь (англ. Cold Blood ) — 9 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 29 мая 2010 и завершивший двухсерийную историю, начавшуюся в прошлом эпизоде . История, написанная Крисом Чибнеллом , показала возвращение силурианцев . В данном эпизоде также важную роль сыграла трещина во времени , элемент сезонной арки, поглотившая Рори после его гибели, что стёрло его из истории, оставив воспоминаний о нём только у Доктора. Арку также продвинуло то, что Доктор узнал, что именно стало причиной появления трещин. В отличие от прошлых двух столкновений Доктора с силурианцами, данная история завершается на относительно позитивной ноте, поместив город силурианцев обратно в спячку с надеждой на мирное сотрудничество с человечеством в будущем. Ранее появлявшиеся группы силурианцев были полностью уничтожены Доктором или UNIT. Нив МакИнтош , сыгравшая в серии двух сестёр-силурианок Алейу и Рестак , в следующем сезоне вернётся в роли мадам Вастры , силурианки, проживающей в викторианском Лондоне, которая появится во многих последующих эпизодах. "
https://tardis.fandom.com/ru/wiki/%D0%92%D0%B8%D0%BD%D1%81%D0%B5%D0%BD%D1%82_%D0%B8_%D0%94%D0%BE%D0%BA%D1%82%D0%BE%D1%80,"
					Винсент и Доктор				",Одиннадцатый Доктор,Эми Понд,Трейси Симпсон,5 июня 2010,"Винсент и Доктор Vincent and the Doctor Доктор Кто : 5 сезон 10 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд Участвуют: Винсент Ван Гог Враги: Крафайис Место: Земля - Франция - Овер-сюр-Уаз - 1-3 июня 1890 / Париж : Музей Орсе - 2010 ТАРДИС Доктора Производственная информация Автор: Ричард Кёртис Режиссёр: Джонни Кэмпбелл Продюсер: Трейси Симпсон Патрик Швейцер Номер: 210 Дата выхода: 5 июня 2010 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Холодная кровь Квартирант Винсент и Доктор (англ. Vincent and the Doctor ) — 10 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 5 июня 2010. В истории произошло знакомство Доктора и его спутницы с легендарным художником Винсентом Ван Гогом , а также проведено довольно мрачное исследование причин его самоубийства. В отличие от большинства эпизодов « Доктора Кто », здесь сюжет концентрируется на переживаниях основного второстепенного персонажа, Ван Гога, и показана его тяжёлая жизнь. Как и серия « Выбор Эми », этот эпизод не показывает трещин во времени, и в нём не происходит упоминания Тишины. Однако, отсутствие Рори и некоторые намёки на то, что Эми забыла его, дают серии место в сезонной арке. "
